from,to,relation,weight,type
FiMa,ViMa,family,2,member
FiMa,GaTi,family,1,member
FiMa,GiTi,family,1,member
FiMa,LoTi,family,1,member
FiMa,AnVe,family,1,member
FiMa,CoVe,family,1,member
FiMa,GiVe,family,1,member
FiMa,RuVe,family,1,member
FiMa,GiZa,family,1,member
FiMa,OnZa,family,1,member
FiMa,GiAb,family,1,member
FiMa,MaAb,family,1,member
FiMa,PaAl,family,1,member
FiMa,PiAl,family,1,member
FiMa,FiAr,family,1,member
FiMa,GaAr,family,1,member
FiMa,FrBu,family,1,member
FiMa,ViBu,family,1,member
FiMa,SaBu,family,1,member
FiMa,SaCh,family,1,member
FiMa,DoFe,family,1,member
FiMa,GiIn,family,1,member
FiMa,GaLo,family,1,member
FiMa,GiLo,family,1,member
FiMa,GiOl,family,1,member
FiMa,AnSi,family,1,member
FiMa,FrPa,family,1,member
FiMa,ViSi,family,1,member
FiMa,VSdA,family,1,member
FiMa,PiTa,family,1,member
BeTi,FiMa,family,1,member
BeTi,PiVe,family,1,member
BeTi,CaZa,family,1,member
BeTi,AnMa,family,1,member
BeTi,GiMa,family,1,member
BeTi,ViMa,family,1,member
BeTi,GaTi,family,2,member
BeTi,GiTi,family,2,member
BeTi,LoTi,family,2,member
BeTi,AnVe,family,1,member
BeTi,CoVe,family,1,member
BeTi,GiVe,family,1,member
BeTi,RuVe,family,1,member
BeTi,GiZa,family,1,member
BeTi,OnZa,family,1,member
BeTi,GiAb,family,1,member
BeTi,MaAb,family,1,member
BeTi,PaAl,family,1,member
BeTi,PiAl,family,1,member
BeTi,FiAr,family,1,member
BeTi,GaAr,family,1,member
BeTi,FrBu,family,1,member
BeTi,ViBu,family,1,member
BeTi,SaBu,family,1,member
BeTi,SaCh,family,1,member
BeTi,DoFe,family,1,member
BeTi,GiIn,family,1,member
BeTi,GaLo,family,1,member
BeTi,GiLo,family,1,member
BeTi,GiOl,family,1,member
BeTi,AnSi,family,1,member
BeTi,FrPa,family,1,member
BeTi,ViSi,family,1,member
BeTi,VSdA,family,1,member
BeTi,PiTa,family,1,member
PiVe,FiMa,family,1,member
PiVe,BeTi,family,1,member
PiVe,CaZa,family,1,member
PiVe,AnMa,family,1,member
PiVe,GiMa,family,1,member
PiVe,ViMa,family,1,member
PiVe,GaTi,family,1,member
PiVe,GiTi,family,1,member
PiVe,LoTi,family,1,member
PiVe,AnVe,family,2,member
PiVe,CoVe,family,2,member
PiVe,GiVe,family,2,member
PiVe,RuVe,family,2,member
PiVe,GiZa,family,1,member
PiVe,OnZa,family,1,member
PiVe,GiAb,family,1,member
PiVe,MaAb,family,1,member
PiVe,PaAl,family,1,member
PiVe,PiAl,family,1,member
PiVe,FiAr,family,1,member
PiVe,GaAr,family,1,member
PiVe,FrBu,family,1,member
PiVe,ViBu,family,1,member
PiVe,SaBu,family,1,member
PiVe,SaCh,family,1,member
PiVe,DoFe,family,1,member
PiVe,GiIn,family,1,member
PiVe,GaLo,family,1,member
PiVe,GiLo,family,1,member
PiVe,GiOl,family,1,member
PiVe,AnSi,family,1,member
PiVe,FrPa,family,1,member
PiVe,ViSi,family,1,member
PiVe,VSdA,family,1,member
PiVe,PiTa,family,1,member
CaZa,FiMa,family,1,member
CaZa,BeTi,family,1,member
CaZa,PiVe,family,1,member
CaZa,AnMa,family,1,member
CaZa,GiMa,family,1,member
CaZa,ViMa,family,1,member
CaZa,GaTi,family,1,member
CaZa,GiTi,family,1,member
CaZa,LoTi,family,1,member
CaZa,AnVe,family,1,member
CaZa,CoVe,family,1,member
CaZa,GiVe,family,1,member
CaZa,RuVe,family,1,member
CaZa,GiZa,family,2,member
CaZa,OnZa,family,2,member
CaZa,GiAb,family,1,member
CaZa,MaAb,family,1,member
CaZa,PaAl,family,1,member
CaZa,PiAl,family,1,member
CaZa,FiAr,family,1,member
CaZa,GaAr,family,1,member
CaZa,FrBu,family,1,member
CaZa,ViBu,family,1,member
CaZa,SaBu,family,1,member
CaZa,SaCh,family,1,member
CaZa,DoFe,family,1,member
CaZa,GiIn,family,1,member
CaZa,GaLo,family,1,member
CaZa,GiLo,family,1,member
CaZa,GiOl,family,1,member
CaZa,AnSi,family,1,member
CaZa,FrPa,family,1,member
CaZa,ViSi,family,1,member
CaZa,VSdA,family,1,member
CaZa,PiTa,family,1,member
AnMa,FiMa,family,2,member
AnMa,BeTi,family,1,member
AnMa,PiVe,family,1,member
AnMa,CaZa,family,1,member
AnMa,GiMa,family,2,member
AnMa,ViMa,family,2,member
AnMa,GaTi,family,1,member
AnMa,GiTi,family,1,member
AnMa,LoTi,family,1,member
AnMa,AnVe,family,1,member
AnMa,CoVe,family,1,member
AnMa,GiVe,family,1,member
AnMa,RuVe,family,1,member
AnMa,GiZa,family,1,member
AnMa,OnZa,family,1,member
AnMa,GiAb,family,1,member
AnMa,MaAb,family,1,member
AnMa,PaAl,family,1,member
AnMa,PiAl,family,1,member
AnMa,FiAr,family,1,member
AnMa,GaAr,family,1,member
AnMa,FrBu,family,1,member
AnMa,ViBu,family,1,member
AnMa,SaBu,family,1,member
AnMa,SaCh,family,1,member
AnMa,DoFe,family,1,member
AnMa,GiIn,family,1,member
AnMa,GaLo,family,1,member
AnMa,GiLo,family,1,member
AnMa,GiOl,family,1,member
AnMa,AnSi,family,1,member
AnMa,FrPa,family,1,member
AnMa,ViSi,family,1,member
AnMa,VSdA,family,1,member
AnMa,PiTa,family,1,member
GiMa,FiMa,family,2,member
GiMa,BeTi,family,1,member
GiMa,PiVe,family,1,member
GiMa,CaZa,family,1,member
GiMa,AnMa,family,2,member
GiMa,ViMa,family,2,member
GiMa,GaTi,family,1,member
GiMa,GiTi,family,1,member
GiMa,LoTi,family,1,member
GiMa,AnVe,family,1,member
GiMa,CoVe,family,1,member
GiMa,GiVe,family,1,member
GiMa,RuVe,family,1,member
GiMa,GiZa,family,1,member
GiMa,OnZa,family,1,member
GiMa,GiAb,family,1,member
GiMa,MaAb,family,1,member
GiMa,PaAl,family,1,member
GiMa,PiAl,family,1,member
GiMa,FiAr,family,1,member
GiMa,GaAr,family,1,member
GiMa,FrBu,family,1,member
GiMa,ViBu,family,1,member
GiMa,SaBu,family,1,member
GiMa,SaCh,family,1,member
GiMa,DoFe,family,1,member
GiMa,GiIn,family,1,member
GiMa,GaLo,family,1,member
GiMa,GiLo,family,1,member
GiMa,GiOl,family,1,member
GiMa,AnSi,family,1,member
GiMa,FrPa,family,1,member
GiMa,ViSi,family,1,member
GiMa,VSdA,family,1,member
GiMa,PiTa,family,1,member
ViMa,FiMa,family,2,member
ViMa,BeTi,family,1,member
ViMa,PiVe,family,1,member
ViMa,CaZa,family,1,member
ViMa,AnMa,family,2,member
ViMa,GiMa,family,2,member
ViMa,GaTi,family,1,member
ViMa,GiTi,family,1,member
ViMa,LoTi,family,1,member
ViMa,AnVe,family,1,member
ViMa,CoVe,family,1,member
ViMa,GiVe,family,1,member
ViMa,RuVe,family,1,member
ViMa,GiZa,family,1,member
ViMa,OnZa,family,1,member
ViMa,GiAb,family,1,member
ViMa,MaAb,family,1,member
ViMa,PaAl,family,1,member
ViMa,PiAl,family,1,member
ViMa,FiAr,family,1,member
ViMa,GaAr,family,1,member
ViMa,FrBu,family,1,member
ViMa,ViBu,family,1,member
ViMa,SaBu,family,1,member
ViMa,SaCh,family,1,member
ViMa,DoFe,family,1,member
ViMa,GiIn,family,1,member
ViMa,GaLo,family,1,member
ViMa,GiLo,family,1,member
ViMa,GiOl,family,1,member
ViMa,AnSi,family,1,member
ViMa,FrPa,family,1,member
ViMa,ViSi,family,1,member
ViMa,VSdA,family,1,member
ViMa,PiTa,family,1,member
GaTi,FiMa,family,1,member
GaTi,BeTi,family,2,member
GaTi,PiVe,family,1,member
GaTi,CaZa,family,1,member
GaTi,AnMa,family,1,member
GaTi,GiMa,family,1,member
GaTi,ViMa,family,1,member
GaTi,GiTi,family,2,member
GaTi,LoTi,family,2,member
GaTi,AnVe,family,1,member
GaTi,CoVe,family,1,member
GaTi,GiVe,family,1,member
GaTi,RuVe,family,1,member
GaTi,GiZa,family,1,member
GaTi,OnZa,family,1,member
GaTi,GiAb,family,1,member
GaTi,MaAb,family,1,member
GaTi,PaAl,family,1,member
GaTi,PiAl,family,1,member
GaTi,FiAr,family,1,member
GaTi,GaAr,family,1,member
GaTi,FrBu,family,1,member
GaTi,ViBu,family,1,member
GaTi,SaBu,family,1,member
GaTi,SaCh,family,1,member
GaTi,DoFe,family,1,member
GaTi,GiIn,family,1,member
GaTi,GaLo,family,1,member
GaTi,GiLo,family,1,member
GaTi,GiOl,family,1,member
GaTi,AnSi,family,1,member
GaTi,FrPa,family,1,member
GaTi,ViSi,family,1,member
GaTi,VSdA,family,1,member
GaTi,PiTa,family,1,member
GiTi,FiMa,family,1,member
GiTi,BeTi,family,2,member
GiTi,PiVe,family,1,member
GiTi,CaZa,family,1,member
GiTi,AnMa,family,1,member
GiTi,GiMa,family,1,member
GiTi,ViMa,family,1,member
GiTi,GaTi,family,2,member
GiTi,LoTi,family,2,member
GiTi,AnVe,family,1,member
GiTi,CoVe,family,1,member
GiTi,GiVe,family,1,member
GiTi,RuVe,family,1,member
GiTi,GiZa,family,1,member
GiTi,OnZa,family,1,member
GiTi,GiAb,family,1,member
GiTi,MaAb,family,1,member
GiTi,PaAl,family,1,member
GiTi,PiAl,family,1,member
GiTi,FiAr,family,1,member
GiTi,GaAr,family,1,member
GiTi,FrBu,family,1,member
GiTi,ViBu,family,1,member
GiTi,SaBu,family,1,member
GiTi,SaCh,family,1,member
GiTi,DoFe,family,1,member
GiTi,GiIn,family,1,member
GiTi,GaLo,family,1,member
GiTi,GiLo,family,1,member
GiTi,GiOl,family,1,member
GiTi,AnSi,family,1,member
GiTi,FrPa,family,1,member
GiTi,ViSi,family,1,member
GiTi,VSdA,family,1,member
GiTi,PiTa,family,1,member
LoTi,FiMa,family,1,member
LoTi,BeTi,family,2,member
LoTi,PiVe,family,1,member
LoTi,CaZa,family,1,member
LoTi,AnMa,family,1,member
LoTi,GiMa,family,1,member
LoTi,ViMa,family,1,member
LoTi,GaTi,family,2,member
LoTi,GiTi,family,2,member
LoTi,AnVe,family,1,member
LoTi,CoVe,family,1,member
LoTi,GiVe,family,1,member
LoTi,RuVe,family,1,member
LoTi,GiZa,family,1,member
LoTi,OnZa,family,1,member
LoTi,GiAb,family,1,member
LoTi,MaAb,family,1,member
LoTi,PaAl,family,1,member
LoTi,PiAl,family,1,member
LoTi,FiAr,family,1,member
LoTi,GaAr,family,1,member
LoTi,FrBu,family,1,member
LoTi,ViBu,family,1,member
LoTi,SaBu,family,1,member
LoTi,SaCh,family,1,member
LoTi,DoFe,family,1,member
LoTi,GiIn,family,1,member
LoTi,GaLo,family,1,member
LoTi,GiLo,family,1,member
LoTi,GiOl,family,1,member
LoTi,AnSi,family,1,member
LoTi,FrPa,family,1,member
LoTi,ViSi,family,1,member
LoTi,VSdA,family,1,member
LoTi,PiTa,family,1,member
AnVe,FiMa,family,1,member
AnVe,BeTi,family,1,member
AnVe,PiVe,family,2,member
AnVe,CaZa,family,1,member
AnVe,AnMa,family,1,member
AnVe,GiMa,family,1,member
AnVe,ViMa,family,1,member
AnVe,GaTi,family,1,member
AnVe,GiTi,family,1,member
AnVe,LoTi,family,1,member
AnVe,CoVe,family,2,member
AnVe,GiVe,family,2,member
AnVe,RuVe,family,2,member
AnVe,GiZa,family,1,member
AnVe,OnZa,family,1,member
AnVe,GiAb,family,1,member
AnVe,MaAb,family,1,member
AnVe,PaAl,family,1,member
AnVe,PiAl,family,1,member
AnVe,FiAr,family,1,member
AnVe,GaAr,family,1,member
AnVe,FrBu,family,1,member
AnVe,ViBu,family,1,member
AnVe,SaBu,family,1,member
AnVe,SaCh,family,1,member
AnVe,DoFe,family,1,member
AnVe,GiIn,family,1,member
AnVe,GaLo,family,1,member
AnVe,GiLo,family,1,member
AnVe,GiOl,family,1,member
AnVe,AnSi,family,1,member
AnVe,FrPa,family,1,member
AnVe,ViSi,family,1,member
AnVe,VSdA,family,1,member
AnVe,PiTa,family,1,member
CoVe,FiMa,family,1,member
CoVe,BeTi,family,1,member
CoVe,PiVe,family,2,member
CoVe,CaZa,family,1,member
CoVe,AnMa,family,1,member
CoVe,GiMa,family,1,member
CoVe,ViMa,family,1,member
CoVe,GaTi,family,1,member
CoVe,GiTi,family,1,member
CoVe,LoTi,family,1,member
CoVe,AnVe,family,2,member
CoVe,GiVe,family,2,member
CoVe,RuVe,family,2,member
CoVe,GiZa,family,1,member
CoVe,OnZa,family,1,member
CoVe,GiAb,family,1,member
CoVe,MaAb,family,1,member
CoVe,PaAl,family,1,member
CoVe,PiAl,family,1,member
CoVe,FiAr,family,1,member
CoVe,GaAr,family,1,member
CoVe,FrBu,family,1,member
CoVe,ViBu,family,1,member
CoVe,SaBu,family,1,member
CoVe,SaCh,family,1,member
CoVe,DoFe,family,1,member
CoVe,GiIn,family,1,member
CoVe,GaLo,family,1,member
CoVe,GiLo,family,1,member
CoVe,GiOl,family,1,member
CoVe,AnSi,family,1,member
CoVe,FrPa,family,1,member
CoVe,ViSi,family,1,member
CoVe,VSdA,family,1,member
CoVe,PiTa,family,1,member
GiVe,FiMa,family,1,member
GiVe,BeTi,family,1,member
GiVe,PiVe,family,2,member
GiVe,CaZa,family,1,member
GiVe,AnMa,family,1,member
GiVe,GiMa,family,1,member
GiVe,ViMa,family,1,member
GiVe,GaTi,family,1,member
GiVe,GiTi,family,1,member
GiVe,LoTi,family,1,member
GiVe,AnVe,family,2,member
GiVe,CoVe,family,2,member
GiVe,RuVe,family,2,member
GiVe,GiZa,family,1,member
GiVe,OnZa,family,1,member
GiVe,GiAb,family,1,member
GiVe,MaAb,family,1,member
GiVe,PaAl,family,1,member
GiVe,PiAl,family,1,member
GiVe,FiAr,family,1,member
GiVe,GaAr,family,1,member
GiVe,FrBu,family,1,member
GiVe,ViBu,family,1,member
GiVe,SaBu,family,1,member
GiVe,SaCh,family,1,member
GiVe,DoFe,family,1,member
GiVe,GiIn,family,1,member
GiVe,GaLo,family,1,member
GiVe,GiLo,family,1,member
GiVe,GiOl,family,1,member
GiVe,AnSi,family,1,member
GiVe,FrPa,family,1,member
GiVe,ViSi,family,1,member
GiVe,VSdA,family,1,member
GiVe,PiTa,family,1,member
RuVe,FiMa,family,1,member
RuVe,BeTi,family,1,member
RuVe,PiVe,family,2,member
RuVe,CaZa,family,1,member
