from,to,relation,weight,type
PiAl,GiTi,family,1,member
PiAl,LoTi,family,1,member
PiAl,AnVe,family,1,member
PiAl,CoVe,family,1,member
PiAl,GiVe,family,1,member
PiAl,RuVe,family,1,member
PiAl,GiZa,family,1,member
PiAl,OnZa,family,1,member
PiAl,GiAb,family,1,member
PiAl,MaAb,family,1,member
PiAl,PaAl,family,2,member
PiAl,FiAr,family,1,member
PiAl,GaAr,family,1,member
PiAl,FrBu,family,1,member
PiAl,ViBu,family,1,member
PiAl,SaBu,family,1,member
PiAl,SaCh,family,1,member
PiAl,DoFe,family,1,member
PiAl,GiIn,family,1,member
PiAl,GaLo,family,1,member
PiAl,GiLo,family,1,member
PiAl,GiOl,family,1,member
PiAl,AnSi,family,1,member
PiAl,FrPa,family,1,member
PiAl,ViSi,family,1,member
PiAl,VSdA,family,1,member
PiAl,PiTa,family,1,member
FiAr,FiMa,family,1,member
FiAr,BeTi,family,1,member
FiAr,PiVe,family,1,member
FiAr,CaZa,family,1,member
FiAr,AnMa,family,1,member
FiAr,GiMa,family,1,member
FiAr,ViMa,family,1,member
FiAr,GaTi,family,1,member
FiAr,GiTi,family,1,member
FiAr,LoTi,family,1,member
FiAr,AnVe,family,1,member
FiAr,CoVe,family,1,member
FiAr,GiVe,family,1,member
FiAr,RuVe,family,1,member
FiAr,GiZa,family,1,member
FiAr,OnZa,family,1,member
FiAr,GiAb,family,1,member
FiAr,MaAb,family,1,member
FiAr,PaAl,family,1,member
FiAr,PiAl,family,1,member
FiAr,GaAr,family,2,member
FiAr,FrBu,family,1,member
FiAr,ViBu,family,1,member
FiAr,SaBu,family,1,member
FiAr,SaCh,family,1,member
FiAr,DoFe,family,1,member
FiAr,GiIn,family,1,member
FiAr,GaLo,family,1,member
FiAr,GiLo,family,1,member
FiAr,GiOl,family,1,member
FiAr,AnSi,family,1,member
FiAr,FrPa,family,1,member
FiAr,ViSi,family,1,member
FiAr,VSdA,family,1,member
FiAr,PiTa,family,1,member
GaAr,FiMa,family,1,member
GaAr,BeTi,family,1,member
GaAr,PiVe,family,1,member
GaAr,CaZa,family,1,member
GaAr,AnMa,family,1,member
GaAr,GiMa,family,1,member
GaAr,ViMa,family,1,member
GaAr,GaTi,family,1,member
GaAr,GiTi,family,1,member
GaAr,LoTi,family,1,member
GaAr,AnVe,family,1,member
GaAr,CoVe,family,1,member
GaAr,GiVe,family,1,member
GaAr,RuVe,family,1,member
GaAr,GiZa,family,1,member
GaAr,OnZa,family,1,member
GaAr,GiAb,family,1,member
GaAr,MaAb,family,1,member
GaAr,PaAl,family,1,member
GaAr,PiAl,family,1,member
GaAr,FiAr,family,2,member
GaAr,FrBu,family,1,member
GaAr,ViBu,family,1,member
GaAr,SaBu,family,1,member
GaAr,SaCh,family,1,member
GaAr,DoFe,family,1,member
GaAr,GiIn,family,1,member
GaAr,GaLo,family,1,member
GaAr,GiLo,family,1,member
GaAr,GiOl,family,1,member
GaAr,AnSi,family,1,member
GaAr,FrPa,family,1,member
GaAr,ViSi,family,1,member
GaAr,VSdA,family,1,member
GaAr,PiTa,family,1,member
FrBu,FiMa,family,1,member
FrBu,BeTi,family,1,member
FrBu,PiVe,family,1,member
FrBu,CaZa,family,1,member
FrBu,AnMa,family,1,member
FrBu,GiMa,family,1,member
FrBu,ViMa,family,1,member
FrBu,GaTi,family,1,member
FrBu,GiTi,family,1,member
FrBu,LoTi,family,1,member
FrBu,AnVe,family,1,member
FrBu,CoVe,family,1,member
FrBu,GiVe,family,1,member
FrBu,RuVe,family,1,member
FrBu,GiZa,family,1,member
FrBu,OnZa,family,1,member
FrBu,GiAb,family,1,member
FrBu,MaAb,family,1,member
FrBu,PaAl,family,1,member
FrBu,PiAl,family,1,member
FrBu,FiAr,family,1,member
FrBu,GaAr,family,1,member
FrBu,ViBu,family,2,member
FrBu,SaBu,family,2,member
FrBu,SaCh,family,1,member
FrBu,DoFe,family,1,member
FrBu,GiIn,family,1,member
FrBu,GaLo,family,1,member
FrBu,GiLo,family,1,member
FrBu,GiOl,family,1,member
FrBu,AnSi,family,1,member
FrBu,FrPa,family,1,member
FrBu,ViSi,family,1,member
FrBu,VSdA,family,1,member
FrBu,PiTa,family,1,member
ViBu,FiMa,family,1,member
ViBu,BeTi,family,1,member
ViBu,PiVe,family,1,member
ViBu,CaZa,family,1,member
ViBu,AnMa,family,1,member
ViBu,GiMa,family,1,member
ViBu,ViMa,family,1,member
ViBu,GaTi,family,1,member
ViBu,GiTi,family,1,member
ViBu,LoTi,family,1,member
ViBu,AnVe,family,1,member
ViBu,CoVe,family,1,member
ViBu,GiVe,family,1,member
ViBu,RuVe,family,1,member
ViBu,GiZa,family,1,member
ViBu,OnZa,family,1,member
ViBu,GiAb,family,1,member
ViBu,MaAb,family,1,member
ViBu,PaAl,family,1,member
ViBu,PiAl,family,1,member
ViBu,FiAr,family,1,member
ViBu,GaAr,family,1,member
ViBu,FrBu,family,2,member
ViBu,SaBu,family,2,member
ViBu,SaCh,family,1,member
ViBu,DoFe,family,1,member
ViBu,GiIn,family,1,member
ViBu,GaLo,family,1,member
ViBu,GiLo,family,1,member
ViBu,GiOl,family,1,member
ViBu,AnSi,family,1,member
ViBu,FrPa,family,1,member
ViBu,ViSi,family,1,member
ViBu,VSdA,family,1,member
ViBu,PiTa,family,1,member
SaBu,FiMa,family,1,member
SaBu,BeTi,family,1,member
SaBu,PiVe,family,1,member
SaBu,CaZa,family,1,member
SaBu,AnMa,family,1,member
SaBu,GiMa,family,1,member
SaBu,ViMa,family,1,member
SaBu,GaTi,family,1,member
SaBu,GiTi,family,1,member
SaBu,LoTi,family,1,member
SaBu,AnVe,family,1,member
SaBu,CoVe,family,1,member
SaBu,GiVe,family,1,member
SaBu,RuVe,family,1,member
SaBu,GiZa,family,1,member
SaBu,OnZa,family,1,member
SaBu,GiAb,family,1,member
SaBu,GiAb,family,1,member
SaBu,MaAb,family,1,member
SaBu,PaAl,family,1,member
SaBu,PiAl,family,1,member
SaBu,FiAr,family,1,member
SaBu,GaAr,family,1,member
SaBu,FrBu,family,2,member
SaBu,ViBu,family,2,member
SaBu,SaCh,family,1,member
SaBu,DoFe,family,1,member
SaBu,GiIn,family,1,member
SaBu,GaLo,family,1,member
SaBu,GiLo,family,1,member
SaBu,GiOl,family,1,member
SaBu,AnSi,family,1,member
SaBu,FrPa,family,1,member
SaBu,ViSi,family,1,member
SaBu,VSdA,family,1,member
SaBu,PiTa,family,1,member
SaCh,FiMa,family,1,member
SaCh,BeTi,family,1,member
SaCh,PiVe,family,1,member
SaCh,CaZa,family,1,member
SaCh,AnMa,family,1,member
SaCh,GiMa,family,1,member
SaCh,ViMa,family,1,member
SaCh,GaTi,family,1,member
SaCh,GiTi,family,1,member
SaCh,LoTi,family,1,member
SaCh,AnVe,family,1,member
SaCh,CoVe,family,1,member
SaCh,GiVe,family,1,member
SaCh,RuVe,family,1,member
SaCh,GiZa,family,1,member
SaCh,OnZa,family,1,member
SaCh,GiAb,family,1,member
SaCh,MaAb,family,1,member
SaCh,PaAl,family,1,member
SaCh,PiAl,family,1,member
SaCh,FiAr,family,1,member
SaCh,GaAr,family,1,member
SaCh,FrBu,family,1,member
SaCh,ViBu,family,1,member
SaCh,SaBu,family,1,member
SaCh,DoFe,family,1,member
SaCh,GiIn,family,1,member
SaCh,GaLo,family,1,member
SaCh,GiLo,family,1,member
SaCh,GiOl,family,1,member
SaCh,AnSi,family,1,member
SaCh,FrPa,family,1,member
SaCh,ViSi,family,1,member
SaCh,VSdA,family,1,member
SaCh,PiTa,family,1,member
DoFe,FiMa,family,1,member
DoFe,BeTi,family,1,member
DoFe,PiVe,family,1,member
DoFe,CaZa,family,1,member
DoFe,AnMa,family,1,member
DoFe,GiMa,family,1,member
DoFe,ViMa,family,1,member
DoFe,GaTi,family,1,member
DoFe,GiTi,family,1,member
DoFe,LoTi,family,1,member
DoFe,AnVe,family,1,member
DoFe,CoVe,family,1,member
DoFe,GiVe,family,1,member
DoFe,RuVe,family,1,member
DoFe,GiZa,family,1,member
DoFe,OnZa,family,1,member
DoFe,GiAb,family,1,member
DoFe,MaAb,family,1,member
DoFe,PaAl,family,1,member
DoFe,PiAl,family,1,member
DoFe,FiAr,family,1,member
DoFe,GaAr,family,1,member
DoFe,FrBu,family,1,member
DoFe,ViBu,family,1,member
DoFe,SaBu,family,1,member
DoFe,SaCh,family,1,member
DoFe,GiIn,family,1,member
DoFe,GaLo,family,1,member
DoFe,GiLo,family,1,member
DoFe,GiOl,family,1,member
DoFe,AnSi,family,1,member
DoFe,FrPa,family,1,member
DoFe,ViSi,family,1,member
DoFe,VSdA,family,1,member
DoFe,PiTa,family,1,member
GiIn,FiMa,family,1,member
GiIn,BeTi,family,1,member
GiIn,PiVe,family,1,member
GiIn,CaZa,family,1,member
GiIn,AnMa,family,1,member
GiIn,GiMa,family,1,member
GiIn,ViMa,family,1,member
GiIn,GaTi,family,1,member
GiIn,GiTi,family,1,member
GiIn,LoTi,family,1,member
GiIn,AnVe,family,1,member
GiIn,CoVe,family,1,member
GiIn,GiVe,family,1,member
GiIn,RuVe,family,1,member
GiIn,GiZa,family,1,member
GiIn,OnZa,family,1,member
GiIn,GiAb,family,1,member
GiIn,MaAb,family,1,member
GiIn,PaAl,family,1,member
GiIn,PiAl,family,1,member
GiIn,FiAr,family,1,member
GiIn,GaAr,family,1,member
GiIn,FrBu,family,1,member
GiIn,ViBu,family,1,member
GiIn,SaBu,family,1,member
GiIn,SaCh,family,1,member
GiIn,DoFe,family,1,member
GiIn,GaLo,family,1,member
GiIn,GiLo,family,1,member
GiIn,GiOl,family,1,member
GiIn,AnSi,family,1,member
GiIn,FrPa,family,1,member
GiIn,ViSi,family,1,member
GiIn,VSdA,family,1,member
GiIn,PiTa,family,1,member
GaLo,FiMa,family,1,member
GaLo,BeTi,family,1,member
GaLo,PiVe,family,1,member
GaLo,CaZa,family,1,member
GaLo,AnMa,family,1,member
GaLo,GiMa,family,1,member
GaLo,ViMa,family,1,member
GaLo,GaTi,family,1,member
GaLo,GiTi,family,1,member
GaLo,LoTi,family,1,member
GaLo,AnVe,family,1,member
GaLo,CoVe,family,1,member
GaLo,GiVe,family,1,member
GaLo,RuVe,family,1,member
GaLo,GiZa,family,1,member
GaLo,OnZa,family,1,member
GaLo,GiAb,family,1,member
GaLo,MaAb,family,1,member
GaLo,PaAl,family,1,member
GaLo,PiAl,family,1,member
GaLo,FiAr,family,1,member
GaLo,GaAr,family,1,member
GaLo,FrBu,family,1,member
GaLo,ViBu,family,1,member
GaLo,SaBu,family,1,member
GaLo,SaCh,family,1,member
GaLo,DoFe,family,1,member
GaLo,GiIn,family,1,member
GaLo,GiLo,family,2,member
GaLo,GiOl,family,1,member
GaLo,AnSi,family,1,member
GaLo,FrPa,family,1,member
GaLo,ViSi,family,1,member
GaLo,VSdA,family,1,member
GaLo,PiTa,family,1,member
GiLo,FiMa,family,1,member
GiLo,BeTi,family,1,member
GiLo,PiVe,family,1,member
GiLo,CaZa,family,1,member
GiLo,AnMa,family,1,member
GiLo,GiMa,family,1,member
GiLo,ViMa,family,1,member
GiLo,GaTi,family,1,member
GiLo,GiTi,family,1,member
GiLo,LoTi,family,1,member
GiLo,AnVe,family,1,member
GiLo,CoVe,family,1,member
GiLo,GiVe,family,1,member
GiLo,RuVe,family,1,member
GiLo,GiZa,family,1,member
GiLo,OnZa,family,1,member
GiLo,GiAb,family,1,member
GiLo,MaAb,family,1,member
GiLo,PaAl,family,1,member
GiLo,PiAl,family,1,member
GiLo,FiAr,family,1,member
GiLo,GaAr,family,1,member
GiLo,FrBu,family,1,member
GiLo,ViBu,family,1,member
GiLo,SaBu,family,1,member
GiLo,SaCh,family,1,member
GiLo,DoFe,family,1,member
GiLo,GiIn,family,1,member
GiLo,GaLo,family,2,member
GiLo,GiOl,family,1,member
GiLo,AnSi,family,1,member
GiLo,FrPa,family,1,member
GiLo,ViSi,family,1,member
GiLo,VSdA,family,1,member
GiLo,PiTa,family,1,member
GiOl,FiMa,family,1,member
GiOl,BeTi,family,1,member
GiOl,PiVe,family,1,member
GiOl,CaZa,family,1,member
GiOl,AnMa,family,1,member
GiOl,GiMa,family,1,member
GiOl,ViMa,family,1,member
GiOl,GaTi,family,1,member
GiOl,GiTi,family,1,member
GiOl,LoTi,family,1,member
GiOl,AnVe,family,1,member
GiOl,CoVe,family,1,member
GiOl,GiVe,family,1,member
GiOl,RuVe,family,1,member
GiOl,GiZa,family,1,member
GiOl,OnZa,family,1,member
GiOl,GiAb,family,1,member
GiOl,MaAb,family,1,member
GiOl,PaAl,family,1,member
GiOl,PiAl,family,1,member
GiOl,FiAr,family,1,member
GiOl,GaAr,family,1,member
GiOl,FrBu,family,1,member
GiOl,ViBu,family,1,member
GiOl,SaBu,family,1,member
GiOl,SaCh,family,1,member
GiOl,DoFe,family,1,member
GiOl,GiIn,family,1,member
GiOl,GaLo,family,1,member
GiOl,GiLo,family,1,member
GiOl,AnSi,family,1,member
GiOl,FrPa,family,1,member
GiOl,ViSi,family,1,member
GiOl,VSdA,family,1,member
GiOl,PiTa,family,1,member
AnSi,FiMa,family,1,member
AnSi,BeTi,family,1,member
AnSi,PiVe,family,1,member
AnSi,CaZa,family,1,member
AnSi,AnMa,family,1,member
AnSi,GiMa,family,1,member
AnSi,ViMa,family,1,member
AnSi,GaTi,family,1,member
AnSi,GiTi,family,1,member
AnSi,LoTi,family,1,member
AnSi,AnVe,family,1,member
AnSi,CoVe,family,1,member
AnSi,GiVe,family,1,member
AnSi,RuVe,family,1,member
AnSi,GiZa,family,1,member
AnSi,OnZa,family,1,member
AnSi,GiAb,family,1,member
AnSi,MaAb,family,1,member
AnSi,PaAl,family,1,member
AnSi,PiAl,family,1,member
AnSi,FiAr,family,1,member
AnSi,GaAr,family,1,member
AnSi,FrBu,family,1,member
AnSi,ViBu,family,1,member
AnSi,SaBu,family,1,member
AnSi,SaCh,family,1,member
AnSi,DoFe,family,1,member
AnSi,GiIn,family,1,member
AnSi,GaLo,family,1,member
AnSi,GiLo,family,1,member
AnSi,GiOl,family,1,member
AnSi,FrPa,family,2,member
AnSi,ViSi,family,2,member
AnSi,VSdA,family,2,member
AnSi,PiTa,family,1,member
FrPa,FiMa,family,1,member
FrPa,BeTi,family,1,member
FrPa,PiVe,family,1,member
FrPa,CaZa,family,1,member
FrPa,AnMa,family,1,member
FrPa,GiMa,family,1,member
FrPa,ViMa,family,1,member
FrPa,GaTi,family,1,member
FrPa,GiTi,family,1,member
FrPa,LoTi,family,1,member
FrPa,AnVe,family,1,member
FrPa,CoVe,family,1,member
FrPa,GiVe,family,1,member
FrPa,RuVe,family,1,member
FrPa,GiZa,family,1,member
FrPa,OnZa,family,1,member
FrPa,GiAb,family,1,member
FrPa,MaAb,family,1,member
FrPa,PaAl,family,1,member
FrPa,PiAl,family,1,member
FrPa,FiAr,family,1,member
FrPa,GaAr,family,1,member
FrPa,FrBu,family,1,member
FrPa,ViBu,family,1,member
FrPa,SaBu,family,1,member
FrPa,SaCh,family,1,member
FrPa,DoFe,family,1,member
FrPa,GiIn,family,1,member
FrPa,GaLo,family,1,member
FrPa,GiLo,family,1,member
FrPa,GiOl,family,1,member
FrPa,AnSi,family,2,member
FrPa,ViSi,family,2,member
FrPa,VSdA,family,2,member
FrPa,PiTa,family,1,member
ViSi,FiMa,family,1,member
ViSi,BeTi,family,1,member
ViSi,PiVe,family,1,member
ViSi,CaZa,family,1,member
ViSi,AnMa,family,1,member
ViSi,GiMa,family,1,member
ViSi,ViMa,family,1,member
ViSi,GaTi,family,1,member
ViSi,GiTi,family,1,member
ViSi,LoTi,family,1,member
ViSi,AnVe,family,1,member
ViSi,CoVe,family,1,member
ViSi,GiVe,family,1,member
ViSi,RuVe,family,1,member
ViSi,GiZa,family,1,member
ViSi,OnZa,family,1,member
ViSi,GiAb,family,1,member
ViSi,MaAb,family,1,member
ViSi,PaAl,family,1,member
ViSi,PiAl,family,1,member
ViSi,FiAr,family,1,member
ViSi,GaAr,family,1,member
ViSi,FrBu,family,1,member
ViSi,ViBu,family,1,member
ViSi,SaBu,family,1,member
ViSi,SaCh,family,1,member
ViSi,DoFe,family,1,member
ViSi,GiIn,family,1,member
ViSi,GaLo,family,1,member
ViSi,GiLo,family,1,member
ViSi,GiOl,family,1,member
ViSi,AnSi,family,2,member
ViSi,FrPa,family,2,member
ViSi,VSdA,family,2,member
ViSi,PiTa,family,1,member
VSdA,FiMa,family,1,member
VSdA,BeTi,family,1,member
VSdA,PiVe,family,1,member
VSdA,CaZa,family,1,member
VSdA,AnMa,family,1,member
VSdA,GiMa,family,1,member
VSdA,ViMa,family,1,member
VSdA,GaTi,family,1,member
VSdA,GiTi,family,1,member
VSdA,LoTi,family,1,member
VSdA,AnVe,family,1,member
VSdA,CoVe,family,1,member
VSdA,GiVe,family,1,member
VSdA,RuVe,family,1,member
VSdA,GiZa,family,1,member
VSdA,OnZa,family,1,member
VSdA,GiAb,family,1,member
VSdA,MaAb,family,1,member
VSdA,PaAl,family,1,member
VSdA,PiAl,family,1,member
VSdA,FiAr,family,1,member
VSdA,GaAr,family,1,member
VSdA,FrBu,family,1,member
VSdA,ViBu,family,1,member
VSdA,SaBu,family,1,member
VSdA,SaCh,family,1,member
VSdA,DoFe,family,1,member
VSdA,GiIn,family,1,member
VSdA,GaLo,family,1,member
VSdA,GiLo,family,1,member
VSdA,GiOl,family,1,member
VSdA,AnSi,family,2,member
VSdA,FrPa,family,2,member
VSdA,ViSi,family,2,member
VSdA,PiTa,family,1,member
PiTa,FiMa,family,1,member
PiTa,BeTi,family,1,member
PiTa,PiVe,family,1,member
PiTa,CaZa,family,1,member
PiTa,AnMa,family,1,member
PiTa,GiMa,family,1,member
PiTa,ViMa,family,1,member
PiTa,GaTi,family,1,member
PiTa,GiTi,family,1,member
PiTa,LoTi,family,1,member
PiTa,AnVe,family,1,member
PiTa,CoVe,family,1,member
PiTa,GiVe,family,1,member
PiTa,RuVe,family,1,member
PiTa,GiZa,family,1,member
PiTa,OnZa,family,1,member
PiTa,GiAb,family,1,member
PiTa,MaAb,family,1,member
PiTa,PaAl,family,1,member
PiTa,PiAl,family,1,member
PiTa,FiAr,family,1,member
PiTa,GaAr,family,1,member
PiTa,FrBu,family,1,member
PiTa,ViBu,family,1,member
PiTa,SaBu,family,1,member
PiTa,SaCh,family,1,member
PiTa,DoFe,family,1,member
PiTa,GiIn,family,1,member
PiTa,GaLo,family,1,member
PiTa,GiLo,family,1,member
PiTa,GiOl,family,1,member
PiTa,AnSi,family,1,member
PiTa,FrPa,family,1,member
PiTa,ViSi,family,1,member
PiTa,VSdA,family,1,member
FiMa,GiGr,ally,2,member
GiMa,GiGr,ally,1,member
PiVe,GaMu,ally,1,member
FiMa,GiGa,ally,1,member
FiMa,GiLu,ally,1,member
AnMa,ViPu,conflict,NA,member
GiMa,ViPu,conclict,NA,member
FiMa,ViPu,ally,1,member
DoFe,GiCa,ally,1,member
DoFe,StPa,ally,1,member
DoFe,ViPa,ally,1,member
OnZa,DoCr,ally,2,member
GiZa,DoCr,ally,2,member
CaZa,DoCr,ally,2,member
GiOl,StPa,ally,1,member
PaAl,DoCr,ally,2,member
A,AnDC,family,1,clan
A,GiDC,family,1,clan
AnDC,A,family,1,clan
GiDC,A,family,1,clan
AnDC,GiDC,family,2,member
AnDC,SaRi,ally,1,member
AnDC,BePr,ally,1,member
AnDC,FrCM,ally,1,member
AnDC,GiSc,ally,1,member
AnDC,RoRi,ally,1,member
AnDC,GiGr,ally,1,member
AnDC,MiGr,ally,1,member
AnDC,MaAg,ally,1,member
AnDC,BeBr,ally,1,member
AnDC,AnGe,ally,1,member
AnDC,GCal,ally,1,member
GiDC,AnDC,Giaa,2,member
B,GiSc,family,1,clan
B,LeGr,family,1,clan
GiSc,B,family,1,clan
LeGr,B,family,1,clan
GiSc,LeGr,family,1,member
GiSc,AnDC,ally,1,member
GiSc,RoRi,ally,1,member
GiSc,FrCM,ally,1,member
GiSc,BePr,ally,1,member
GiSc,SaRi,ally,1,member
GiSc,MiGr,ally,1,member
GiSc,GiGr,ally,1,member
GiSc,MaAg,ally,1,member
GiSc,BeBr,ally,1,member
GiSc,AnGe,ally,1,member
GiSc,GCal,ally,1,member
LeGr,GiSc,family,1,member
LeGr,MiGr,ally,3,member
LeGr,BePr,ally,2,member
P,RoRi,family,1,clan
P,GiCu,family,1,clan
P,GiGi,family,1,clan
P,GaMu,family,1,clan
RoRi,P,family,1,clan
GiCu,P,family,1,clan
GiGi,P,family,1,clan
GaMu,P,family,1,clan
RoRi,GiCu,family,1,member
RoRi,GiGi,family,1,member
RoRi,GaMu,family,1,member
RoRi,SaRi,conflict,NA,member
RoRi,BePr,conflict,NA,member
RoRi,AnDC,ally,1,member
RoRi,GiSc,ally,1,member
RoRi,AnGe,conflict,NA,member
RoRi,IgMo,conflict,NA,member
RoRi,FrCM,conflict,NA,member
RoRi,MaAG,ally,1,member
RoRi,BeBr,ally,1,member
RoRi,GCal,conflict,NA,member
RoRi,MiGr,ally,1,member
RoRi,GiGr,ally,1,member
GiCu,RoRi,family,1,member
GiCu,GiGi,family,1,member
GiCu,GaMu,family,1,member
GiGi,RoRi,family,1,member
GiGi,GiCu,family,1,member
GiGi,GaMu,family,1,member
GaMu,RoRi,family,1,member
GaMu,GiCu,family,1,member
GaMu,GiGi,family,1,member
GaMu,SaRi,ally,2,member
GaMu,PiVe,ally,1,member
R,FrCM,family,1,clan
R,GMad,family,1,clan
R,SMad,family,1,clan
R,GiCl,family,1,clan
FrCM,R,family,1,clan
GMad,R,family,1,clan
SMad,R,family,1,clan
GiCl,R,family,1,clan
FrCM,GMad,family,2,member
FrCM,SMad,family,2,member
FrCM,GiCl,family,1,member
FrCM,RoRi,ally,1,member
FrCM,SaRi,ally,2,member
FrCM,BePr,ally,2,member
FrCM,AnDC,ally,1,member
FrCM,GiSc,ally,1,member
FrCM,MiGr,ally,1,member
FrCM,GiGr,ally,1,member
FrCM,IgMo,ally,1,member
FrCM,AnGe,ally,1,member
FrCM,MaAg,ally,1,member
FrCM,BeBr,ally,1,member
FrCM,GCal,ally,1,member
GMad,FrCM,family,2,member
GMad,SMad,family,2,member
GMad,GiCl,family,1,member
GMad,SaRi,ally,2,member
GMad,ViPu,ally,1,member
GMad,BeSa,ally,1,member
SMad,FrCM,family,2,member
SMad,GMad,family,2,member
SMad,GiCl,family,1,member
GiCl,FrCM,family,1,member
GiCl,GMad,family,1,member
GiCl,SMad,family,1,member
SL,GiGa,family,1,clan
GiGa,SL,family,1,clan
GiGa,SaRi,ally,2,member
GiGa,GiGr,ally,1,member
GiGa,GiLu,ally,1,member
GiGa,ViPu,ally,1,member
GiGa,FiMa,ally,1,member
GiGa,GBPu,ally,1,member
TN,ArBo,family,1,clan
TN,FrBo,family,1,clan
TN,LuBo,family,1,clan
ArBo,TN,family,1,clan
FrBo,TN,family,1,clan
LuBo,TN,family,1,clan
ArBo,FrBo,family,2,member
ArBo,LuBo,family,2,member
ArBo,ViPu,ally,1,member
FrBo,ArBo,family,2,member
FrBo,LuBo,family,2,member
FrBo,PiPu,ally,1,member
LuBo,ArBo,family,2,member
LuBo,FrBo,family,2,member
BC,GSav,family,1,clan
BC,CaSa,family,1,clan
BC,ViSa,family,1,clan
BC,AnCa,family,1,clan
BC,GiuC,family,1,clan
BC,BeGr,family,1,clan
BC,FiGr,family,1,clan
BC,GGra,family,1,clan
BC,AnLI,family,1,clan
GSav,BC,family,1,clan
CaSa,BC,family,1,clan
ViSa,BC,family,1,clan
AnCa,BC,family,1,clan
GiuC,BC,family,1,clan
BeGr,BC,family,1,clan
FiGr,BC,family,1,clan
GGra,BC,family,1,clan
AnLI,BC,family,1,clan
GSav,GiLu,ally,1,member
GSav,CaSa,family,2,member
GSav,ViSa,family,2,member
GSav,AnCa,family,1,member
GSav,GiuC,family,1,member
GSav,BeGr,family,1,member
GSav,FiGr,family,1,member
GSav,GGra,family,1,member
GSav,AnLI,family,1,member
CaSa,GiLu,ally,1,member
CaSa,GSav,family,2,member
CaSa,ViSa,family,2,member
CaSa,AnCa,family,1,member
CaSa,GiuC,family,1,member
CaSa,BeGr,family,1,member
CaSa,FiGr,family,1,member
CaSa,GGra,family,1,member
CaSa,AnLI,family,1,member
ViSa,GiLu,ally,1,member
ViSa,GSav,family,2,member
ViSa,CaSa,family,2,member
ViSa,AnCa,family,1,member
ViSa,GiuC,family,1,member
ViSa,BeGr,family,1,member
ViSa,FiGr,family,1,member
ViSa,GGra,family,1,member
ViSa,AnLI,family,1,member
AnCa,GiLu,ally,1,member
AnCa,GSav,family,1,member
AnCa,CaSa,family,1,member
AnCa,ViSa,family,1,member
AnCa,GiuC,family,2,member
AnCa,BeGr,family,1,member
AnCa,FiGr,family,1,member
AnCa,GGra,family,1,member
AnCa,AnLI,family,1,member
AnCa,MiGr,ally,2,member
GiuC,GiLu,ally,1,member
GiuC,GSav,family,1,member
GiuC,CaSa,family,1,member
GiuC,ViSa,family,1,member
GiuC,AnCa,family,2,member
GiuC,BeGr,family,1,member
GiuC,FiGr,family,1,member
GiuC,GGra,family,1,member
GiuC,AnLI,family,1,member
BeGr,GiLu,ally,1,member
BeGr,GSav,family,1,member
BeGr,CaSa,family,1,member
BeGr,ViSa,family,1,member
BeGr,AnCa,family,1,member
BeGr,GiuC,family,1,member
BeGr,FiGr,family,2,member
BeGr,GGra,family,2,member
BeGr,AnLI,family,1,member
FiGr,GiLu,ally,1,member
FiGr,GSav,family,1,member
FiGr,CaSa,family,1,member
FiGr,ViSa,family,1,member
FiGr,AnCa,family,1,member
FiGr,GiuC,family,1,member
FiGr,BeGr,family,2,member
FiGr,GGra,family,2,member
FiGr,AnLI,family,1,member
GGra,GiLu,ally,1,member
GGra,GSav,family,1,member
GGra,CaSa,family,1,member
GGra,ViSa,family,1,member
GGra,AnCa,family,1,member
GGra,GiuC,family,1,member
GGra,BeGr,family,2,member
GGra,FiGr,family,2,member
GGra,AnLI,family,1,member
GGra,SaRi,ally,2,member
AnLI,GiLu,ally,1,member
AnLI,GSav,family,1,member
AnLI,CaSa,family,1,member
AnLI,ViSa,family,1,member
AnLI,AnCa,family,1,member
AnLI,GiuC,family,1,member
AnLI,BeGr,family,1,member
AnLI,FiGr,family,1,member
AnLI,GGra,family,1,member
CC,GiLu,family,1,clan
CC,RoMa,family,1,clan
CC,SaMa,family,1,clan
CC,MiGr,family,1,clan
CC,SaGr,family,1,clan
CC,GiGr,family,1,clan
CC,GiuG,family,1,clan
CC,GGre,family,1,clan
CC,FrBu,family,1,clan
CC,ViBu,family,1,clan
CC,GiCa,family,1,clan
CC,AnLu,family,1,clan
CC,GiPa,family,1,clan
CC,StPa,family,1,clan
CC,GiPr,family,1,clan
CC,GPre,family,1,clan
CC,GiuP,family,1,clan
CC,DoCr,family,1,clan
CC,AnLR,family,1,clan
CC,GiLR,family,1,clan
CC,ViPa,family,1,clan
CC,AnPu,family,1,clan
CC,PiPu,family,1,clan
CC,ViPu,family,1,clan
CC,SaPr,family,1,clan
CC,NiPr,family,1,clan
CC,NGre,family,1,clan
GiLu,CC,family,1,clan
RoMa,CC,family,1,clan
SaMa,CC,family,1,clan
MiGr,CC,family,1,clan
SaGr,CC,family,1,clan
GiGr,CC,family,1,clan
GiuG,CC,family,1,clan
GGre,CC,family,1,clan
FrBu,CC,family,1,clan
ViBu,CC,family,1,clan
GiCa,CC,family,1,clan
AnLu,CC,family,1,clan
GiPa,CC,family,1,clan
StPa,CC,family,1,clan
GiPr,CC,family,1,clan
GPre,CC,family,1,clan
GiuP,CC,family,1,clan
DoCr,CC,family,1,clan
AnLR,CC,family,1,clan
GiLR,CC,family,1,clan
