from,to,relation,weight,type
GiAd,GaGr,family,1,member
GiAd,GiGb,family,1,member
GiAd,GiaG,family,1,member
GiAd,SGra,family,1,member
GiAd,ViGr,family,1,member
MaAd,SadB,family,1,member
MaAd,MaMa,family,1,member
MaAd,RMar,family,1,member
MaAd,FrAd,family,2,member
MaAd,GiAd,family,2,member
MaAd,BeCa,family,1,member
MaAd,SaAd,family,2,member
MaAd,SCon,family,1,member
MaAd,GaGr,family,1,member
MaAd,GiGb,family,1,member
MaAd,GiaG,family,1,member
MaAd,SGra,family,1,member
MaAd,ViGr,family,1,member
BeCa,SadB,family,1,member
BeCa,MaMa,family,1,member
BeCa,RMar,family,1,member
BeCa,FrAd,family,1,member
BeCa,GiAd,family,1,member
BeCa,MaAd,family,1,member
BeCa,SaAd,family,1,member
BeCa,SCon,family,1,member
BeCa,GaGr,family,1,member
BeCa,GiGb,family,1,member
BeCa,GiaG,family,1,member
BeCa,SGra,family,1,member
BeCa,ViGr,family,1,member
SaAd,SadB,family,1,member
SaAd,MaMa,family,1,member
SaAd,RMar,family,1,member
SaAd,FrAd,family,2,member
SaAd,GiAd,family,2,member
SaAd,MaAd,family,2,member
SaAd,BeCa,family,1,member
SaAd,SCon,family,1,member
SaAd,GaGr,family,1,member
SaAd,GiGb,family,1,member
SaAd,GiaG,family,1,member
SaAd,SGra,family,1,member
SaAd,ViGr,family,1,member
SCon,SadB,family,1,member
SCon,MaMa,family,1,member
SCon,RMar,family,1,member
SCon,FrAd,family,1,member
SCon,GiAd,family,1,member
SCon,MaAd,family,1,member
SCon,BeCa,family,1,member
SCon,SaAd,family,1,member
SCon,GaGr,family,1,member
SCon,GiGb,family,1,member
SCon,GiaG,family,1,member
SCon,SGra,family,1,member
SCon,ViGr,family,1,member
GaGr,SadB,family,1,member
GaGr,MaMa,family,1,member
GaGr,RMar,family,1,member
GaGr,FrAd,family,1,member
GaGr,GiAd,family,1,member
GaGr,MaAd,family,1,member
GaGr,BeCa,family,1,member
GaGr,SaAd,family,1,member
GaGr,SCon,family,1,member
GaGr,GiGb,family,1,member
GaGr,GiaG,family,2,member
GaGr,SGra,family,2,member
GaGr,ViGr,family,2,member
GiGb,SadB,family,1,member
GiGb,MaMa,family,1,member
GiGb,RMar,family,1,member
